#,Priority Level,Paper Title,Authors,Year,Venue / Status,Institution / Affiliation,Topic Category,Code / GitHub Available?,Dataset Available?,Paper Link,GitHub Link,Dataset Link,Notes
1,A,GEO: Generative Engine Optimization,Pranjal Aggarwal; Vishvak Murahari; Tanmay Rajpurohit; Ashwin Kalyan; Karthik Narasimhan; Ameet Deshpande,2024,KDD 2024 / arXiv 2023 preprint,IIT Delhi; Princeton University; Georgia Tech; Allen Institute for AI (need PDF verification),Core GEO / AI Visibility,Yes / project page available,Yes / GEO-Bench mentioned,https://dl.acm.org/doi/10.1145/3637528.3671900; https://arxiv.org/abs/2311.09735,https://generative-engines.com/,https://generative-engines.com/,Foundational GEO paper. Defines GEO and GEO-Bench; directly relevant to AI search visibility and content optimization.
2,A,SAGEO Arena: A Realistic Environment for Evaluating Search-Augmented Generative Engine Optimization,Sunghwan Kim; Wooseok Jeong; Serin Kim; Sangam Lee; Dongha Lee,2026,arXiv 2026 preprint,Need to verify from PDF,SAGEO / AI Search Optimization / Structured Web Content,Not confirmed,Benchmark/environment proposed; public availability need to verify,https://arxiv.org/abs/2602.12187,Not confirmed,Not confirmed,"Strong fit because it evaluates GEO in a realistic search-augmented pipeline with retrieval, reranking, generation, and structural web information."
3,A,From Citation Selection to Citation Absorption: A Measurement Framework for Generative Engine Optimization Across AI Search Platforms,Zhang Kai; He Xinyue; Yao Jingang,2026,arXiv 2026 preprint,Need to verify from PDF,AI Visibility / Citation Probability / Measurement Framework,Not confirmed,Yes / geo-citation-lab dataset mentioned; exact access need to verify,https://arxiv.org/abs/2604.25707,Not confirmed,Need to verify,"Very relevant because it separates citation selection from citation absorption across ChatGPT, Google AI Overview/Gemini, and Perplexity."
4,A,Think Before Writing: Feature-Level Multi-Objective Optimization for Generative Citation Visibility,Zikang Liu; Peilan Xu,2026,arXiv 2026 preprint,Need to verify from PDF,GEO / Citation Visibility / Feature-Level Optimization,Yes,Uses GEO-Bench; exact dataset access need to verify,https://arxiv.org/abs/2604.19113,https://github.com/EvoNexusX/2026LiuFeatGEO.git,Need to verify,"Useful for website adaptation variables because it optimizes structural, content, and linguistic webpage features."
5,A,AgenticGEO: A Self-Evolving Agentic System for Generative Engine Optimization,Jiaqi Yuan; Jialu Wang; Zihan Wang; Qingyun Sun; Ruijie Wang; Jianxin Li,2026,arXiv 2026 preprint,Need to verify from PDF,Agentic GEO / Black-box Optimization / AI Visibility,Yes,Uses 3 datasets; exact public data status need to verify,https://arxiv.org/abs/2603.20213,https://github.com/AIcling/agentic_geo,Need to verify,Good for automated/agentic GEO strategies; code/model availability is stated in the abstract.
6,A,Structural Feature Engineering for Generative Engine Optimization: How Content Structure Shapes Citation Behavior,Junwei Yu; Mufeng Yang; Yepeng Ding; Hiroyuki Sato,2026,arXiv 2026 preprint,Need to verify from PDF,Structured Content / Schema / Citation Behavior,Not confirmed,Not confirmed,https://arxiv.org/abs/2603.29979,Not confirmed,Not confirmed,"Directly relevant to the structured-content/schema angle; studies document architecture, information chunking, and visual emphasis."
7,A,EcoGEO: Trajectory-Aware Evidence Ecosystems for Web-Enabled LLM Search Agents,Hengwei Ye; Jiasheng Mao; Zhenhan Guan; Zheng Tian,2026,arXiv 2026 preprint; SIGIR 2026 Short status need verification,Need to verify from PDF,Agentic Search / Evidence Ecosystems / Product Recommendation,Not confirmed,Uses OPR-Bench; availability need to verify,https://arxiv.org/abs/2605.12887,Not confirmed,Need to verify,Important because it shifts GEO from individual pages to linked evidence ecosystems and web-agent browsing trajectories.
8,A,What Generative Search Engines Like and How to Optimize Web Content Cooperatively / AutoGEO,Yujiang Wu; Shanshan Zhong; Yubin Kim; Chenyan Xiong,2025,arXiv 2025 preprint; OpenReview/ICLR status need verification,Need to verify from PDF/OpenReview,GEO / Generative Search Preferences / Content Rewriting,Yes,Uses GEO-Bench and two newly constructed benchmarks; public data status need to verify,https://arxiv.org/abs/2510.11438; https://openreview.net/forum?id=K8EinVWtUB,https://github.com/cxcscmu/AutoGEO,Need to verify,Strong paper for learning what generative search engines prefer and converting those preferences into content rewriting rules.
9,A,E-GEO: A Testbed for Generative Engine Optimization in E-Commerce,Puneet S. Bagga; Vivek F. Farias; Tamar Korkotashvili; Tianyi Peng; Yuhang Wu,2025,arXiv 2025 preprint,Need to verify from PDF,E-Commerce GEO / Product Visibility / Benchmark,Yes,Yes / data and code publicly available in repo according to abstract,https://arxiv.org/abs/2511.20867,https://github.com/psbagga17/E-GEO,https://github.com/psbagga17/E-GEO,Very relevant to finance/econ because it studies GEO in e-commerce with realistic consumer product queries and product listings.
10,A,"How Generative AI Disrupts Search: An Empirical Study of Google Search, Gemini, and AI Overviews",Riley Grossman; Songjiang Liu; Michael K. Chen; Mike Smith; Cristian Borcea; Yi Chen,2026,arXiv 2026 preprint,Need to verify from PDF,AI Search vs Traditional Search / Google AI Overviews / Visibility Measurement,Not confirmed,Yes / public benchmark dataset mentioned; exact access need to verify,https://arxiv.org/abs/2604.27790,Not confirmed,Need to verify,"Excellent fit for comparing traditional Google Search, Gemini, and AI Overviews; measures source differences and website visibility disruption."
11,A,"Measuring Google AI Overviews: Activation, Source Quality, Claim Fidelity, and Publisher Impact",Haofei Xu; Umar Iqbal; Jacob M. Montgomery,2026,arXiv 2026 preprint,Need to verify from PDF,Google AI Overviews / AI Search Measurement / Publisher Impact,Not confirmed,Dataset from trending-query measurement; public availability need to verify,https://arxiv.org/abs/2605.14021,Not confirmed,Not confirmed,"Strong fit for measuring AIO activation, source quality, claim support, and publisher/firm exposure."
12,A,Search Arena: Analyzing Search-Augmented LLMs,Mihran Miroyan; Tsung-Han Wu; Logan King; Tianle Li; Jiayi Pan; Xinyan Hu; Wei-Lin Chiang; Anastasios N. Angelopoulos; Trevor Darrell; Narges Norouzi; Joseph E. Gonzalez,2025,arXiv 2025 preprint; ICLR 2026 status need verification,Need to verify from PDF,Search-Augmented LLMs / AI Search Benchmark / Citation Behavior,Yes,Yes,https://arxiv.org/abs/2506.05334,https://github.com/lmarena/search-arena,https://github.com/lmarena/search-arena,Important benchmark paper with human preference data and citation/source analysis for search-augmented LLMs.
13,A,News Source Citing Patterns in AI Search Systems,Kai-Cheng Yang,2025,arXiv 2025 preprint,Need to verify from PDF,News Citation / AI Search Systems / Source Bias,Yes,Likely yes / based on AI Search Arena data; exact raw data availability need verify,https://arxiv.org/abs/2507.05301,https://github.com/yang3kc/ai_search_arena,Need to verify,Useful for studying which news sources AI search systems cite and whether citations concentrate among specific outlets.
14,A,Auditing Google's AI Overviews and Featured Snippets: A Case Study on Baby Care and Pregnancy,Desheng Hu; Joachim Baumann; Aleksandra Urman; Elsa Lichtenegger; Robin Forsberg; Aniko Hannak; Christo Wilson,2025,arXiv 2025 preprint,Need to verify from PDF,AI Overview Auditing / Featured Snippets / High-Stakes Search,Not confirmed,"Uses 1,508 real queries; public availability need to verify",https://arxiv.org/abs/2511.12920,Not confirmed,Not confirmed,Good transferable auditing framework for comparing AI Overviews and Featured Snippets.
15,B,MMSearch: Benchmarking the Potential of Large Models as Multi-modal Search Engines,Dongzhi Jiang; Renrui Zhang; Ziyu Guo; Yanmin Wu; Jiayi Lei; Pengshuo Qiu; Pan Lu; Zehui Chen; Chaoyou Fu; Guanglu Song; Peng Gao; Yu Liu; Chunyuan Li; Hongsheng Li,2024,arXiv 2024 preprint; ICLR 2025 status need verification,Need to verify from PDF,Multimodal AI Search / Search Benchmark,Project page available,Yes / benchmark dataset,https://arxiv.org/abs/2409.12959,https://mmsearch.github.io/,https://mmsearch.github.io/,Useful background for AI search beyond text; introduces MMSearch-Engine and a multimodal search benchmark.
16,B,"Fact, Fetch, and Reason: A Unified Evaluation of Retrieval-Augmented Generation / FRAMES",Satyapriya Krishna; Kalpesh Krishna; Anhad Mohananey; Steven Schwarcz; Adam Stambler; Shyam Upadhyay; Manaal Faruqui,2024,arXiv 2024 preprint; NAACL 2025 status need verification,Need to verify from PDF,RAG Evaluation / Retrieval + Reasoning / Factuality,Not confirmed,Yes / FRAMES benchmark,https://arxiv.org/abs/2409.12941,Not confirmed,https://huggingface.co/datasets/google/frames-benchmark,"Strong supporting paper for end-to-end RAG evaluation, especially factuality, retrieval, and multi-hop reasoning."
17,B,MIRAGE: A Metric-Intensive Benchmark for Retrieval-Augmented Generation Evaluation,Chanhee Park; Hyeonseok Moon; Chanjun Park; Heuiseok Lim,2025,arXiv 2025 preprint; Findings of NAACL 2025 status need verification,Need to verify from PDF,RAG Benchmark / Retrieval-Generation Evaluation Metrics,Yes,Yes,https://arxiv.org/abs/2504.17137,https://github.com/nlpai-lab/MIRAGE,https://github.com/nlpai-lab/MIRAGE,"Useful for detailed RAG evaluation metrics such as noise vulnerability, context acceptability, context insensitivity, and context misinterpretation."
18,B,LaRA: Benchmarking Retrieval-Augmented Generation and Long-Context LLMs -- No Silver Bullet for LC or RAG Routing,Kuan Li; Liwen Zhang; Yong Jiang; Pengjun Xie; Fei Huang; Shuai Wang; Minhao Cheng,2025,arXiv 2025 preprint; ICML 2025 status need verification,Need to verify from PDF,RAG vs Long-Context LLMs / Benchmark,Yes,Yes,https://arxiv.org/abs/2502.09977,https://github.com/Alibaba-NLP/LaRA,https://github.com/Alibaba-NLP/LaRA,Useful for understanding when AI systems should retrieve external documents versus rely on long-context LLM input.
19,B,REAL-MM-RAG: A Real-World Multi-Modal Retrieval Benchmark,Navve Wasserman; Roi Pony; Oshri Naparstek; Adi Raz Goldfarb; Eli Schwartz; Udi Barzelay; Leonid Karlinsky,2025,arXiv 2025 preprint; ACL 2025 status need verification,Need to verify from PDF,Multimodal RAG / Real-World Retrieval / Finance-Heavy Documents,Project page available,Yes / benchmark and training data mentioned,https://arxiv.org/abs/2502.12342,https://navvewas.github.io/REAL-MM-RAG/,https://navvewas.github.io/REAL-MM-RAG/,Relevant to finance/econ because it includes table-heavy and finance-focused retrieval settings.
20,B,FinRAGBench-V: A Benchmark for Multimodal RAG with Visual Citation in the Financial Domain,Suifeng Zhao; Zhuoran Jin; Sujian Li; Jun Gao,2025,arXiv 2025 preprint; EMNLP 2025 status need verification,Need to verify from PDF,Financial RAG / Visual Citation / Multimodal Benchmark,Yes,Yes,https://arxiv.org/abs/2505.17471,https://github.com/zhaosuifeng/FinRAGBench-V,https://github.com/zhaosuifeng/FinRAGBench-V,Directly useful for the finance/econ angle because it is explicitly financial-domain RAG with visual citation and traceability.
21,B,HoH: A Dynamic Benchmark for Evaluating the Impact of Outdated Information on Retrieval-Augmented Generation,Jie Ouyang; Tingyue Pan; Mingyue Cheng; Ruiran Yan; Yucong Luo; Jiaying Lin; Qi Liu,2025,arXiv 2025 preprint; ACL 2025 status need verification,Need to verify from PDF,Temporal RAG / Outdated Information / Dynamic Benchmark,Not confirmed,Benchmark proposed; public availability need to verify,https://arxiv.org/abs/2503.04800,Not confirmed,Need to verify,Useful for evaluating how outdated retrieved sources affect RAG answers; relevant to AI search reliability and temporal freshness.
22,B,DailyQA: A Benchmark to Evaluate Web Retrieval-Augmented LLMs Based on Capturing Real-World Changes,Jiehan Cheng; Zhicheng Dou,2025,arXiv 2025 preprint,Need to verify from PDF,Web RAG / Dynamic Benchmark / Real-World Changes,Not confirmed,Benchmark proposed; public availability need to verify,https://arxiv.org/abs/2505.17162,Not confirmed,Need to verify,Useful for web-search-augmented LLM evaluation where facts change over time; important for current-information AI search.
23,B,Enabling Large Language Models to Generate Text with Citations / ALCE,Tianyu Gao; Howard Yen; Jiatong Yu; Danqi Chen,2023,EMNLP 2023 / arXiv 2023 preprint,Need to verify from PDF,Citation Generation / Source Attribution / RAG Evaluation,Yes,Yes / ALCE benchmark,https://arxiv.org/abs/2305.14627; https://aclanthology.org/2023.emnlp-main.398/,https://github.com/princeton-nlp/ALCE,https://github.com/princeton-nlp/ALCE,Foundational supporting paper for citation-aware LLM generation; useful for evaluating citation quality and source support.
